obsid,video_id,year,n_rows,n_codeable_turns,n_teacher_turns,n_chars,shared_video_id,sha256
4124,516,3,341,341,170,33717,,48e7091112c4d3d544f7775bc632fd4ab347971709492afab46734c5d6d9d5dd
4125,566,3,193,193,95,35030,,cbf0ba3bc59b30347740842fbe02375b7c9cdbd4b8082c16fda65e5343d43de9
4126,535,3,187,187,87,21523,,c8d8f0e8035dbbe8e8e4f018c026b01c49b06922ff3d3343af764ff965a15bf1
4127,708,3,81,81,53,8819,,f4ebd81dcf3b16d8842cf988e41ae6ad0fe5b6007c5303390afe0420c87f03b8
4128,701,3,79,79,58,9631,,735e0fe5d821652ef9fb897c3052bf1b4941c9fd80c2ace7b7a05813d97ad2bf
4129,827,3,294,294,152,16118,,6212c2f4f4d293a7d60c501e340819c7c9f6859377cebe54857634796a338ea5
4130,706,3,87,87,44,15751,,be573b99623dae9b8b39ae5487980ab61f8365c28786ec28eacf62e6a7a46f4f
4131,826,3,269,269,131,33044,,6f6ec3439f6a699f4ea137a36bcf1a26d797f6bc39f0560f2120c5a777cc08b0
4132,824,3,698,698,303,48147,,2abbfd6baf1e5e7b0fc08eb9f3519066b9aea7d21c51f49f41d42382ea40228d
4133,821,3,151,151,75,24375,,7567cb4bab2f5a03b9ec21071edf5f9133fc51b1b6f7a970ec07ca88553d153b
4134,804,3,225,225,113,20591,,81a8f6cf02b6e26920c82f967d531f194c0231c40b88d5440d3765c588f18e91
4149,537,3,554,554,243,28799,,10d2fc53b9abe052f4959f84ef52ba6952032895e90552bf6cacf63611fffa3f
4150,762,3,201,201,100,14267,,b5717bc02e3283a56e62126d4b92242bcb0020fb2870e6d004fb02bd11c27d4c
4151,735,3,139,139,80,16877,,8f3edabc0a05ddbf5fbd0ee1523e4d955a0ee3d88b3a9e7686446f0561b9c983
4152,736,3,205,205,123,16763,,c7321a3743d7d1251a4668ee849c8db3c19e83353a798234442a33dcc5712259
4153,734,3,478,478,220,21731,,ec5194dd958bea329a2a6a17350a4768bf865532747df641fdf6677af46c2186
4154,797,3,167,167,88,18084,,d551ef1e9693ba2cb7f6665617f50d991b8451cc6b98109d2759231ea56da105
4155,740,3,170,170,86,22135,,0cfb31a67b92dc74643f36ad9cc3ef740e10ffaa3194889ce6af7eda84b661b5
4156,739,3,161,161,80,23592,,3a45af693c87284388f08530d10b57b095ad2af1ec03281c6fadb09025924e02
4157,741,3,275,275,137,22060,,ce19203e71e609d91a767159a35405c22bf70a81a89ebd0b5d4842942de1e95d
